clase,olor,color_sombrero,forma_sombrero,superficie_sombrero,color_laminas,tamano_laminas,forma_tallo,color_tallo,tipo_anillo,numero_anillos,color_espora,poblacion,habitat,moretones,color_velo,textura,diametro_sombrero_cm,altura_tallo_cm
comestible,ninguno,rojo,convexo,escamosa,rosa,angosta,ahusada,canela,colgante,dos,negro,varias,pastizal,sí,blanco,seca,8.3,13.2
comestible,anís,canela,hundido,escamosa,blanco,angosta,agrandada,marrón,grande,uno,blanco,varias,bosque,no,marrón,húmeda,5.1,11.4
venenoso,picante,marrón,nudoso,fibrosa,morado,angosta,ahusada,blanco,evanescente,uno,negro,abundante,desechos,no,naranja,viscosa,4.8,7.8
comestible,fétido,amarillo,campana,escamosa,rosa,ancha,agrandada,canela,ninguno,ninguno,café,solitaria,pastizal,no,naranja,seca,6.2,6.2
venenoso,pescado,canela,cónico,escamosa,marrón,ancha,ahusada,gris,evanescente,dos,verde,abundante,hojas,no,marrón,húmeda,1.3,12.1
comestible,ninguno,gris,plano,estriada,gris,ancha,ahusada,marrón,ninguno,dos,verde,agrupada,urbano,no,naranja,húmeda,8.3,6.0
comestible,pescado,gris,nudoso,fibrosa,marrón,ancha,agrandada,gris,evanescente,dos,marrón,varias,senderos,no,naranja,seca,5.1,3.5
venenoso,fétido,rojo,cónico,escamosa,negro,ancha,agrandada,rosa,grande,dos,café,abundante,pastizal,sí,naranja,húmeda,3.3,8.0
comestible,anís,canela,cónico,fibrosa,negro,angosta,ahusada,gris,evanescente,ninguno,marrón,agrupada,hojas,no,marrón,seca,5.3,1.5
comestible,fétido,marrón,nudoso,escamosa,rosa,angosta,ahusada,canela,evanescente,dos,marrón,numerosa,desechos,no,blanco,seca,6.9,5.2
comestible,pescado,rojo,nudoso,lisa,marrón,angosta,agrandada,blanco,grande,ninguno,negro,varias,desechos,sí,marrón,seca,7.4,3.6
venenoso,pescado,marrón,campana,fibrosa,rojo,ancha,agrandada,marrón,evanescente,ninguno,morado,solitaria,pastizal,no,blanco,húmeda,7.1,6.7
venenoso,almendra,verde,nudoso,fibrosa,negro,ancha,agrandada,blanco,grande,dos,verde,varias,hojas,no,blanco,viscosa,7.4,5.7
venenoso,mohoso,marrón,plano,fibrosa,blanco,angosta,ahusada,marrón,ninguno,ninguno,verde,varias,desechos,sí,blanco,viscosa,3.7,8.2
venenoso,fétido,marrón,nudoso,fibrosa,marrón,angosta,ahusada,marrón,grande,uno,verde,dispersa,senderos,no,blanco,viscosa,5.8,7.6
comestible,almendra,amarillo,hundido,lisa,negro,ancha,agrandada,rosa,colgante,uno,blanco,dispersa,senderos,sí,marrón,seca,5.1,6.1
comestible,ninguno,canela,convexo,fibrosa,blanco,angosta,agrandada,blanco,evanescente,dos,morado,abundante,urbano,sí,marrón,viscosa,2.7,6.3
venenoso,almendra,rosa,cónico,fibrosa,morado,ancha,ahusada,gris,colgante,uno,marrón,varias,bosque,no,blanco,seca,4.5,6.9
venenoso,fétido,blanco,cónico,escamosa,negro,ancha,ahusada,rosa,evanescente,dos,café,varias,urbano,no,blanco,seca,4.3,7.2
venenoso,creosota,blanco,cónico,lisa,marrón,ancha,ahusada,gris,grande,dos,verde,varias,pastizal,no,marrón,seca,6.8,1.0
comestible,ninguno,marrón,plano,estriada,verde,angosta,agrandada,blanco,grande,uno,blanco,agrupada,hojas,sí,naranja,húmeda,6.4,6.2
comestible,pescado,rosa,nudoso,escamosa,rosa,ancha,agrandada,blanco,evanescente,uno,marrón,agrupada,urbano,sí,blanco,seca,6.7,8.5
comestible,almendra,verde,campana,fibrosa,gris,angosta,ahusada,blanco,grande,uno,morado,agrupada,urbano,sí,naranja,seca,5.2,2.4
comestible,almendra,rojo,cónico,lisa,marrón,angosta,ahusada,canela,evanescente,uno,morado,agrupada,senderos,sí,marrón,seca,9.5,4.9
venenoso,creosota,gris,nudoso,fibrosa,morado,ancha,agrandada,marrón,colgante,ninguno,verde,solitaria,urbano,sí,marrón,húmeda,7.6,5.5
venenoso,almendra,marrón,nudoso,escamosa,verde,angosta,agrandada,rosa,ninguno,dos,verde,dispersa,hojas,sí,naranja,viscosa,5.3,6.6
comestible,almendra,canela,cónico,fibrosa,verde,ancha,ahusada,marrón,colgante,uno,morado,numerosa,urbano,sí,blanco,húmeda,4.8,7.5
comestible,fétido,marrón,campana,lisa,rojo,ancha,ahusada,rosa,colgante,uno,café,abundante,senderos,no,blanco,húmeda,6.7,6.5
venenoso,anís,verde,plano,lisa,gris,ancha,ahusada,marrón,grande,dos,verde,varias,urbano,no,marrón,húmeda,8.9,5.7
venenoso,mohoso,marrón,convexo,lisa,blanco,angosta,ahusada,marrón,ninguno,dos,negro,dispersa,senderos,sí,blanco,viscosa,5.3,8.5
venenoso,mohoso,marrón,plano,fibrosa,gris,ancha,ahusada,canela,evanescente,dos,marrón,varias,urbano,no,blanco,viscosa,4.6,1.0
comestible,anís,gris,campana,lisa,rojo,ancha,agrandada,marrón,ninguno,uno,verde,solitaria,hojas,no,marrón,húmeda,7.3,11.0
venenoso,mohoso,verde,hundido,lisa,verde,angosta,ahusada,marrón,grande,dos,morado,solitaria,pastizal,no,naranja,viscosa,3.7,6.6
comestible,almendra,gris,convexo,fibrosa,morado,angosta,ahusada,blanco,ninguno,uno,verde,numerosa,desechos,no,marrón,viscosa,4.3,7.1
venenoso,mohoso,canela,campana,escamosa,blanco,angosta,agrandada,blanco,colgante,ninguno,negro,numerosa,hojas,sí,blanco,húmeda,6.9,6.9
venenoso,creosota,blanco,cónico,fibrosa,gris,angosta,ahusada,rosa,evanescente,dos,verde,agrupada,pastizal,no,blanco,viscosa,5.2,7.3
venenoso,picante,marrón,campana,estriada,rojo,angosta,agrandada,marrón,colgante,dos,marrón,agrupada,bosque,no,naranja,viscosa,6.6,6.9
venenoso,anís,gris,convexo,lisa,marrón,angosta,agrandada,canela,ninguno,ninguno,café,varias,bosque,sí,marrón,viscosa,8.8,5.8
venenoso,creosota,rojo,cónico,estriada,blanco,angosta,agrandada,gris,evanescente,uno,morado,solitaria,desechos,sí,marrón,seca,6.2,6.9
comestible,ninguno,rosa,campana,escamosa,verde,angosta,agrandada,rosa,colgante,dos,negro,numerosa,bosque,sí,blanco,húmeda,6.2,5.6
comestible,anís,gris,plano,escamosa,gris,angosta,ahusada,marrón,ninguno,uno,verde,abundante,urbano,no,marrón,húmeda,8.0,5.6
comestible,almendra,amarillo,campana,fibrosa,blanco,ancha,ahusada,canela,evanescente,uno,negro,varias,desechos,sí,naranja,húmeda,1.0,7.3
comestible,fétido,canela,cónico,estriada,rosa,ancha,agrandada,marrón,grande,ninguno,blanco,solitaria,pastizal,no,marrón,viscosa,4.1,6.7
comestible,picante,canela,cónico,escamosa,rosa,ancha,agrandada,canela,evanescente,ninguno,marrón,agrupada,desechos,no,marrón,seca,3.4,2.4
venenoso,pescado,marrón,hundido,escamosa,gris,angosta,agrandada,blanco,ninguno,ninguno,morado,varias,senderos,sí,naranja,seca,3.2,3.6
venenoso,pescado,rosa,hundido,lisa,morado,angosta,ahusada,blanco,grande,uno,morado,abundante,hojas,sí,blanco,húmeda,3.0,8.0
venenoso,ninguno,amarillo,cónico,lisa,rojo,ancha,agrandada,rosa,colgante,uno,verde,varias,pastizal,sí,marrón,viscosa,7.3,4.5
comestible,ninguno,blanco,hundido,lisa,blanco,angosta,ahusada,blanco,colgante,ninguno,marrón,solitaria,hojas,no,naranja,seca,7.3,4.7
venenoso,pescado,rosa,campana,escamosa,negro,ancha,ahusada,canela,evanescente,dos,café,varias,senderos,no,blanco,húmeda,4.1,8.4
comestible,picante,marrón,campana,lisa,rojo,angosta,ahusada,marrón,colgante,ninguno,marrón,solitaria,senderos,sí,blanco,viscosa,6.2,9.0
comestible,anís,rojo,plano,lisa,marrón,angosta,agrandada,canela,colgante,dos,verde,numerosa,pastizal,sí,naranja,viscosa,6.6,9.5
venenoso,fétido,rojo,hundido,fibrosa,morado,ancha,ahusada,rosa,evanescente,uno,negro,dispersa,urbano,sí,marrón,húmeda,1.9,12.9
comestible,anís,marrón,nudoso,lisa,verde,angosta,ahusada,rosa,ninguno,dos,negro,numerosa,desechos,sí,naranja,seca,6.1,11.5
comestible,ninguno,rosa,convexo,estriada,verde,ancha,ahusada,gris,colgante,uno,blanco,varias,desechos,sí,marrón,seca,6.6,3.5
venenoso,pescado,rojo,campana,estriada,negro,ancha,agrandada,marrón,evanescente,uno,marrón,solitaria,pastizal,sí,blanco,húmeda,7.7,2.8
comestible,almendra,verde,campana,estriada,verde,angosta,agrandada,rosa,evanescente,ninguno,café,solitaria,urbano,no,naranja,viscosa,4.3,8.2
comestible,almendra,rojo,plano,estriada,rosa,ancha,agrandada,canela,evanescente,dos,marrón,solitaria,urbano,no,naranja,seca,5.9,9.0
venenoso,fétido,marrón,nudoso,fibrosa,gris,angosta,ahusada,rosa,colgante,ninguno,marrón,abundante,urbano,sí,marrón,húmeda,11.4,9.1
comestible,anís,rosa,plano,escamosa,verde,ancha,ahusada,canela,evanescente,uno,blanco,dispersa,desechos,no,marrón,seca,7.7,7.4
comestible,ninguno,rojo,plano,escamosa,rojo,ancha,agrandada,canela,grande,uno,morado,agrupada,pastizal,no,naranja,húmeda,1.0,7.0
venenoso,almendra,verde,plano,fibrosa,blanco,ancha,agrandada,rosa,colgante,uno,verde,dispersa,pastizal,sí,naranja,viscosa,6.5,8.5
venenoso,fétido,verde,convexo,fibrosa,negro,angosta,agrandada,marrón,colgante,uno,blanco,solitaria,pastizal,sí,naranja,seca,6.3,8.1
venenoso,picante,marrón,plano,escamosa,rojo,ancha,ahusada,gris,ninguno,dos,marrón,solitaria,desechos,no,naranja,seca,9.1,7.9
venenoso,ninguno,canela,hundido,fibrosa,verde,angosta,agrandada,marrón,evanescente,ninguno,morado,numerosa,bosque,no,naranja,viscosa,7.6,6.0
comestible,almendra,verde,cónico,lisa,verde,ancha,ahusada,rosa,grande,ninguno,negro,solitaria,urbano,no,marrón,seca,3.1,3.6
venenoso,mohoso,verde,plano,lisa,rojo,ancha,agrandada,blanco,colgante,ninguno,morado,varias,bosque,sí,blanco,húmeda,5.6,7.2
venenoso,mohoso,amarillo,campana,escamosa,verde,angosta,ahusada,blanco,ninguno,ninguno,negro,numerosa,bosque,sí,marrón,seca,3.1,5.2
venenoso,pescado,canela,campana,estriada,verde,angosta,agrandada,gris,colgante,dos,marrón,varias,hojas,no,naranja,húmeda,5.4,10.1
comestible,mohoso,blanco,cónico,fibrosa,rojo,ancha,agrandada,gris,grande,dos,café,agrupada,desechos,no,marrón,seca,7.3,6.8
venenoso,picante,blanco,cónico,fibrosa,morado,ancha,ahusada,gris,colgante,dos,morado,abundante,bosque,no,marrón,seca,7.0,6.5
venenoso,mohoso,rosa,hundido,fibrosa,morado,ancha,ahusada,marrón,grande,uno,café,varias,senderos,sí,naranja,seca,7.6,7.7
comestible,picante,rosa,hundido,escamosa,marrón,angosta,ahusada,blanco,colgante,dos,café,abundante,senderos,no,blanco,húmeda,9.9,2.5
comestible,ninguno,canela,convexo,lisa,gris,angosta,ahusada,blanco,colgante,dos,morado,solitaria,pastizal,no,blanco,seca,7.9,6.0
comestible,almendra,canela,campana,escamosa,marrón,ancha,ahusada,marrón,colgante,dos,blanco,dispersa,pastizal,sí,marrón,húmeda,4.2,7.5
venenoso,pescado,marrón,plano,lisa,morado,ancha,ahusada,blanco,colgante,ninguno,marrón,dispersa,bosque,no,naranja,seca,7.0,6.7
venenoso,pescado,canela,convexo,estriada,blanco,angosta,agrandada,canela,evanescente,uno,café,numerosa,hojas,no,blanco,viscosa,7.5,3.1
venenoso,anís,rosa,nudoso,estriada,morado,angosta,agrandada,canela,grande,dos,marrón,solitaria,bosque,no,marrón,seca,7.8,4.2
comestible,almendra,canela,cónico,fibrosa,rosa,ancha,agrandada,rosa,ninguno,dos,negro,agrupada,pastizal,sí,marrón,húmeda,6.1,9.0
venenoso,mohoso,rojo,convexo,lisa,gris,ancha,ahusada,rosa,grande,uno,café,agrupada,urbano,no,naranja,viscosa,5.0,5.1
venenoso,pescado,blanco,plano,fibrosa,gris,angosta,ahusada,blanco,grande,dos,marrón,agrupada,hojas,sí,blanco,húmeda,6.4,7.1
venenoso,mohoso,rosa,plano,estriada,rosa,ancha,agrandada,rosa,evanescente,ninguno,negro,abundante,bosque,no,marrón,viscosa,8.7,8.8
comestible,picante,amarillo,convexo,fibrosa,marrón,ancha,ahusada,canela,ninguno,ninguno,blanco,varias,senderos,no,naranja,viscosa,8.1,6.0
venenoso,anís,verde,hundido,lisa,morado,ancha,agrandada,rosa,evanescente,dos,blanco,varias,hojas,sí,naranja,húmeda,3.6,8.0
comestible,almendra,verde,campana,fibrosa,negro,ancha,agrandada,rosa,evanescente,uno,blanco,agrupada,desechos,no,naranja,seca,5.6,2.0
comestible,almendra,verde,convexo,fibrosa,morado,angosta,agrandada,gris,ninguno,uno,morado,varias,senderos,sí,marrón,seca,6.6,3.8
venenoso,pescado,gris,hundido,lisa,gris,ancha,agrandada,marrón,grande,dos,morado,dispersa,urbano,sí,marrón,seca,6.4,5.9
venenoso,mohoso,canela,convexo,fibrosa,blanco,ancha,ahusada,gris,evanescente,uno,morado,solitaria,desechos,no,blanco,viscosa,4.0,9.5
venenoso,pescado,canela,convexo,escamosa,blanco,ancha,agrandada,rosa,colgante,dos,negro,solitaria,bosque,no,blanco,viscosa,8.0,13.1
comestible,almendra,marrón,cónico,lisa,blanco,angosta,ahusada,gris,colgante,dos,morado,numerosa,senderos,no,blanco,seca,6.3,6.0
venenoso,anís,gris,cónico,estriada,blanco,angosta,ahusada,canela,evanescente,uno,café,numerosa,bosque,no,blanco,húmeda,6.9,5.8
comestible,ninguno,rosa,convexo,estriada,rosa,ancha,agrandada,canela,evanescente,ninguno,morado,agrupada,pastizal,no,blanco,viscosa,4.4,7.4
venenoso,creosota,rojo,nudoso,escamosa,rojo,ancha,agrandada,canela,colgante,uno,marrón,solitaria,hojas,sí,blanco,húmeda,3.3,6.2
venenoso,anís,canela,plano,lisa,blanco,angosta,agrandada,marrón,ninguno,dos,morado,abundante,bosque,no,blanco,viscosa,8.5,5.1
venenoso,picante,verde,plano,lisa,negro,angosta,ahusada,blanco,colgante,uno,verde,dispersa,urbano,sí,naranja,viscosa,9.9,10.2
venenoso,pescado,verde,nudoso,fibrosa,negro,ancha,agrandada,rosa,grande,ninguno,café,varias,pastizal,sí,marrón,húmeda,3.1,3.8
comestible,ninguno,marrón,nudoso,estriada,morado,angosta,ahusada,marrón,colgante,uno,negro,numerosa,urbano,sí,blanco,húmeda,3.0,4.7
venenoso,mohoso,marrón,nudoso,fibrosa,negro,ancha,ahusada,canela,grande,ninguno,morado,dispersa,senderos,sí,blanco,húmeda,5.1,6.2
venenoso,picante,verde,hundido,estriada,negro,ancha,agrandada,rosa,evanescente,ninguno,blanco,varias,hojas,sí,marrón,húmeda,4.7,6.3
comestible,almendra,amarillo,cónico,escamosa,negro,angosta,ahusada,gris,ninguno,ninguno,marrón,abundante,hojas,sí,marrón,seca,8.2,7.5
comestible,pescado,blanco,plano,escamosa,morado,ancha,agrandada,canela,ninguno,uno,marrón,solitaria,bosque,no,blanco,viscosa,8.5,6.5
venenoso,picante,blanco,campana,escamosa,rosa,angosta,agrandada,marrón,ninguno,uno,marrón,varias,bosque,no,marrón,seca,5.3,8.9
venenoso,mohoso,canela,nudoso,estriada,rojo,ancha,ahusada,marrón,ninguno,ninguno,verde,agrupada,urbano,no,marrón,viscosa,5.5,1.5
comestible,almendra,marrón,campana,lisa,rosa,angosta,ahusada,blanco,evanescente,dos,morado,varias,urbano,no,marrón,seca,6.6,5.3
comestible,picante,canela,hundido,escamosa,negro,ancha,ahusada,canela,evanescente,dos,blanco,dispersa,urbano,no,naranja,seca,8.7,6.2
comestible,picante,gris,convexo,lisa,gris,angosta,ahusada,blanco,grande,ninguno,blanco,agrupada,pastizal,sí,blanco,húmeda,6.3,8.6
venenoso,fétido,marrón,nudoso,lisa,verde,angosta,ahusada,marrón,colgante,uno,morado,dispersa,pastizal,sí,blanco,húmeda,6.0,4.8
venenoso,mohoso,rojo,nudoso,escamosa,blanco,ancha,agrandada,gris,colgante,ninguno,marrón,agrupada,hojas,sí,marrón,húmeda,6.2,11.2
venenoso,fétido,gris,hundido,lisa,verde,angosta,ahusada,blanco,grande,ninguno,negro,numerosa,pastizal,sí,marrón,viscosa,9.5,7.2
comestible,almendra,blanco,convexo,escamosa,marrón,angosta,agrandada,gris,grande,dos,negro,varias,pastizal,sí,marrón,húmeda,7.1,7.2
comestible,ninguno,canela,nudoso,lisa,rojo,ancha,agrandada,marrón,evanescente,uno,blanco,agrupada,desechos,no,blanco,seca,8.3,7.3
venenoso,picante,gris,campana,estriada,blanco,angosta,agrandada,canela,ninguno,dos,negro,varias,hojas,no,naranja,húmeda,7.9,6.9
comestible,anís,verde,campana,escamosa,gris,ancha,ahusada,gris,colgante,dos,marrón,numerosa,pastizal,sí,naranja,húmeda,7.4,5.5
comestible,ninguno,amarillo,hundido,estriada,blanco,angosta,agrandada,canela,grande,uno,blanco,numerosa,hojas,no,naranja,húmeda,7.4,6.7
comestible,mohoso,amarillo,plano,escamosa,gris,ancha,agrandada,gris,colgante,ninguno,negro,varias,desechos,no,marrón,húmeda,6.3,12.4
comestible,anís,gris,cónico,estriada,gris,angosta,ahusada,canela,evanescente,ninguno,negro,abundante,senderos,no,blanco,viscosa,9.0,8.0
comestible,fétido,rosa,cónico,fibrosa,rojo,ancha,ahusada,gris,grande,ninguno,café,dispersa,desechos,no,marrón,viscosa,8.4,9.6
comestible,ninguno,verde,convexo,estriada,morado,angosta,agrandada,gris,evanescente,dos,blanco,solitaria,senderos,no,blanco,seca,5.2,12.2
venenoso,creosota,verde,campana,lisa,rosa,ancha,agrandada,blanco,colgante,uno,marrón,abundante,hojas,sí,marrón,húmeda,7.5,7.2
venenoso,fétido,gris,hundido,fibrosa,rojo,angosta,ahusada,canela,colgante,ninguno,blanco,abundante,pastizal,no,naranja,húmeda,3.9,1.3
venenoso,anís,rojo,convexo,fibrosa,gris,ancha,agrandada,blanco,colgante,ninguno,blanco,numerosa,bosque,sí,blanco,viscosa,4.5,5.3
comestible,ninguno,marrón,cónico,escamosa,morado,ancha,agrandada,blanco,ninguno,dos,blanco,numerosa,pastizal,no,blanco,húmeda,4.3,9.7
comestible,ninguno,gris,convexo,estriada,verde,angosta,agrandada,gris,grande,ninguno,blanco,agrupada,desechos,no,marrón,seca,8.2,6.7
venenoso,fétido,gris,plano,fibrosa,rosa,ancha,agrandada,rosa,colgante,ninguno,marrón,solitaria,hojas,no,marrón,viscosa,8.9,5.2
venenoso,almendra,rojo,hundido,fibrosa,negro,ancha,agrandada,blanco,evanescente,uno,café,agrupada,bosque,no,blanco,húmeda,6.8,6.4
comestible,anís,canela,nudoso,fibrosa,rojo,ancha,agrandada,rosa,colgante,uno,blanco,agrupada,pastizal,sí,marrón,viscosa,5.4,7.0
venenoso,picante,marrón,hundido,fibrosa,rosa,angosta,agrandada,blanco,ninguno,uno,morado,abundante,hojas,sí,naranja,viscosa,2.3,6.1
comestible,ninguno,rosa,cónico,fibrosa,blanco,angosta,agrandada,gris,colgante,ninguno,verde,abundante,senderos,sí,marrón,viscosa,7.8,5.8
comestible,picante,amarillo,hundido,lisa,rosa,ancha,ahusada,gris,grande,dos,café,agrupada,bosque,sí,marrón,húmeda,5.6,9.4
venenoso,fétido,rosa,hundido,estriada,gris,angosta,ahusada,gris,grande,ninguno,verde,agrupada,senderos,sí,naranja,viscosa,5.9,10.9
venenoso,fétido,blanco,nudoso,fibrosa,negro,angosta,ahusada,rosa,evanescente,dos,negro,agrupada,pastizal,no,marrón,húmeda,5.9,3.9
venenoso,anís,rosa,campana,fibrosa,marrón,ancha,agrandada,blanco,ninguno,dos,negro,dispersa,bosque,no,blanco,viscosa,7.7,7.7
venenoso,fétido,amarillo,convexo,fibrosa,rosa,ancha,agrandada,marrón,colgante,dos,verde,solitaria,desechos,sí,naranja,húmeda,2.1,6.0
venenoso,pescado,marrón,plano,fibrosa,morado,ancha,agrandada,rosa,ninguno,dos,morado,solitaria,pastizal,no,marrón,seca,8.0,6.9
venenoso,ninguno,canela,cónico,fibrosa,rosa,angosta,ahusada,marrón,colgante,uno,verde,varias,senderos,sí,blanco,seca,5.7,2.0
comestible,almendra,blanco,nudoso,lisa,rojo,ancha,agrandada,blanco,evanescente,uno,negro,abundante,pastizal,sí,naranja,viscosa,3.8,7.3
comestible,ninguno,rosa,cónico,escamosa,marrón,angosta,ahusada,blanco,ninguno,dos,café,solitaria,pastizal,sí,naranja,viscosa,2.6,3.6
comestible,anís,gris,nudoso,lisa,negro,angosta,agrandada,rosa,ninguno,ninguno,marrón,abundante,bosque,no,naranja,viscosa,6.9,7.1
venenoso,pescado,verde,plano,estriada,gris,ancha,ahusada,gris,ninguno,uno,negro,agrupada,urbano,sí,blanco,seca,4.4,9.4
venenoso,ninguno,verde,nudoso,lisa,negro,ancha,ahusada,gris,evanescente,dos,morado,varias,urbano,no,marrón,viscosa,11.5,3.1
comestible,almendra,rojo,cónico,lisa,verde,ancha,ahusada,rosa,evanescente,ninguno,morado,dispersa,desechos,no,naranja,húmeda,5.1,11.3
comestible,ninguno,verde,hundido,lisa,rojo,ancha,ahusada,canela,grande,dos,negro,agrupada,hojas,no,marrón,viscosa,4.4,11.7
venenoso,pescado,verde,campana,lisa,gris,ancha,ahusada,blanco,ninguno,dos,blanco,abundante,bosque,no,blanco,seca,2.1,8.7
venenoso,mohoso,blanco,cónico,lisa,blanco,ancha,agrandada,gris,grande,ninguno,café,agrupada,bosque,no,blanco,seca,2.7,5.7
comestible,almendra,marrón,convexo,escamosa,negro,angosta,ahusada,blanco,evanescente,ninguno,blanco,solitaria,urbano,no,naranja,seca,4.0,3.5
venenoso,fétido,marrón,campana,estriada,rojo,ancha,ahusada,gris,ninguno,uno,verde,abundante,hojas,no,blanco,viscosa,7.4,4.9
venenoso,ninguno,canela,campana,escamosa,gris,ancha,agrandada,canela,evanescente,ninguno,morado,agrupada,hojas,no,naranja,viscosa,6.1,4.1
venenoso,fétido,verde,convexo,fibrosa,verde,angosta,agrandada,rosa,colgante,dos,café,numerosa,bosque,sí,marrón,seca,4.1,8.3
comestible,anís,amarillo,campana,estriada,rosa,ancha,agrandada,marrón,ninguno,uno,café,varias,pastizal,sí,blanco,seca,4.1,7.1
comestible,ninguno,rojo,nudoso,lisa,gris,ancha,agrandada,rosa,evanescente,ninguno,marrón,numerosa,pastizal,sí,blanco,viscosa,3.5,6.3
comestible,anís,rojo,campana,lisa,rojo,ancha,agrandada,canela,colgante,uno,verde,solitaria,pastizal,sí,marrón,seca,6.6,8.7
comestible,almendra,amarillo,nudoso,lisa,verde,ancha,agrandada,gris,grande,dos,blanco,agrupada,pastizal,no,naranja,seca,3.1,11.7
venenoso,picante,rojo,hundido,estriada,marrón,ancha,ahusada,rosa,ninguno,ninguno,verde,dispersa,urbano,no,marrón,viscosa,4.2,10.9
venenoso,pescado,rosa,campana,estriada,blanco,angosta,agrandada,marrón,colgante,dos,morado,agrupada,senderos,sí,naranja,seca,8.6,6.3
comestible,almendra,gris,campana,fibrosa,rosa,ancha,agrandada,marrón,evanescente,ninguno,negro,solitaria,senderos,no,naranja,seca,8.5,4.5
comestible,pescado,rojo,hundido,lisa,negro,angosta,agrandada,rosa,ninguno,ninguno,blanco,dispersa,urbano,sí,blanco,seca,6.7,9.7
comestible,ninguno,gris,nudoso,fibrosa,rosa,ancha,agrandada,blanco,ninguno,ninguno,café,varias,urbano,no,naranja,viscosa,1.0,7.8
venenoso,pescado,blanco,hundido,escamosa,blanco,angosta,ahusada,marrón,ninguno,dos,morado,varias,pastizal,no,blanco,seca,6.4,7.5
comestible,mohoso,canela,nudoso,fibrosa,gris,ancha,ahusada,gris,evanescente,ninguno,negro,abundante,desechos,sí,blanco,seca,7.0,12.0
venenoso,anís,verde,cónico,lisa,marrón,ancha,ahusada,marrón,ninguno,ninguno,verde,dispersa,bosque,no,blanco,seca,8.4,8.0
comestible,creosota,blanco,convexo,estriada,blanco,angosta,agrandada,marrón,grande,uno,marrón,solitaria,urbano,sí,naranja,húmeda,8.5,12.6
venenoso,pescado,rosa,nudoso,escamosa,negro,angosta,ahusada,canela,grande,uno,marrón,varias,desechos,sí,blanco,seca,6.7,8.1
venenoso,creosota,verde,campana,estriada,negro,angosta,ahusada,gris,grande,dos,marrón,numerosa,bosque,no,marrón,seca,4.4,12.3
comestible,almendra,canela,cónico,estriada,rojo,angosta,agrandada,canela,colgante,dos,negro,abundante,desechos,sí,naranja,seca,5.8,6.1
venenoso,creosota,canela,nudoso,estriada,blanco,angosta,agrandada,rosa,colgante,dos,café,dispersa,bosque,sí,naranja,seca,7.9,10.0
comestible,ninguno,canela,cónico,fibrosa,blanco,ancha,agrandada,gris,evanescente,ninguno,blanco,varias,urbano,sí,marrón,seca,4.0,8.3
comestible,pescado,rosa,nudoso,fibrosa,morado,angosta,agrandada,canela,grande,ninguno,blanco,solitaria,pastizal,no,naranja,seca,8.3,4.9
venenoso,mohoso,canela,hundido,estriada,negro,ancha,agrandada,blanco,ninguno,uno,negro,agrupada,bosque,no,blanco,seca,4.1,6.4
comestible,ninguno,marrón,nudoso,escamosa,gris,angosta,agrandada,marrón,ninguno,ninguno,morado,numerosa,desechos,no,marrón,seca,3.6,5.5
venenoso,fétido,blanco,plano,lisa,rojo,angosta,ahusada,canela,grande,uno,blanco,numerosa,hojas,sí,naranja,seca,7.7,9.4
venenoso,pescado,rosa,hundido,fibrosa,negro,angosta,agrandada,blanco,grande,ninguno,verde,agrupada,bosque,no,blanco,viscosa,4.7,8.3
comestible,picante,amarillo,cónico,lisa,morado,ancha,agrandada,canela,ninguno,ninguno,café,numerosa,senderos,sí,naranja,viscosa,9.3,8.0
venenoso,fétido,amarillo,nudoso,estriada,negro,ancha,ahusada,gris,ninguno,dos,marrón,numerosa,senderos,sí,naranja,viscosa,5.8,4.3
venenoso,pescado,gris,campana,fibrosa,gris,angosta,agrandada,gris,grande,dos,marrón,solitaria,urbano,no,marrón,viscosa,4.6,2.3
venenoso,fétido,gris,convexo,lisa,marrón,angosta,agrandada,canela,ninguno,dos,café,agrupada,pastizal,no,naranja,seca,5.7,4.8
comestible,picante,verde,plano,escamosa,rojo,ancha,ahusada,marrón,colgante,dos,negro,solitaria,senderos,sí,blanco,húmeda,7.2,4.2
venenoso,fétido,rosa,convexo,estriada,marrón,ancha,ahusada,blanco,colgante,ninguno,morado,agrupada,desechos,no,blanco,seca,8.6,6.4
venenoso,picante,gris,nudoso,lisa,negro,ancha,ahusada,marrón,colgante,dos,morado,varias,hojas,sí,naranja,seca,8.3,10.7
venenoso,mohoso,rosa,nudoso,lisa,gris,angosta,agrandada,canela,colgante,ninguno,café,agrupada,senderos,sí,naranja,húmeda,8.2,5.6
comestible,ninguno,verde,plano,fibrosa,rosa,angosta,agrandada,rosa,evanescente,uno,verde,varias,desechos,sí,blanco,seca,3.1,5.3
comestible,almendra,amarillo,campana,escamosa,rosa,angosta,ahusada,blanco,colgante,dos,morado,solitaria,pastizal,sí,naranja,seca,7.4,8.1
venenoso,creosota,rosa,campana,escamosa,rosa,angosta,agrandada,blanco,colgante,dos,negro,varias,senderos,sí,marrón,seca,4.9,7.5
venenoso,picante,rosa,cónico,lisa,gris,ancha,ahusada,gris,grande,dos,marrón,varias,bosque,no,blanco,seca,4.0,6.4
venenoso,picante,rosa,campana,escamosa,gris,angosta,ahusada,blanco,evanescente,uno,morado,abundante,hojas,no,naranja,húmeda,4.7,8.0
venenoso,mohoso,marrón,hundido,estriada,negro,angosta,ahusada,blanco,grande,dos,verde,dispersa,senderos,no,naranja,viscosa,6.4,4.3
